ell,Dl_TT_muK2,Dl_EE_muK2,Dl_TE_muK2,Cl_TT,Cl_EE,Cl_TE,Cl_BB
1549,127.85300712856389,1.3872440160094752,-3.9154279264155125,1.2276130973165926e-16,1.3319975505267802e-18,-3.7594974979614474e-18,0.0
1550,127.63838533704941,1.3850030672088278,-3.9089791035518293,1.223972013413806e-16,1.3281310228732744e-18,-3.748465644666881e-18,0.0
1551,127.42566986824716,1.3827824053990352,-3.902588096344564,1.2203575506576764e-16,1.3242927826787884e-18,-3.7375144705184886e-18,0.0
1552,127.21485705345324,1.3805819954047769,-3.8962547990110425,1.2167695801716618e-16,1.3204826966361206e-18,-3.726643590097718e-18,0.0
1553,127.00594317791042,1.3784018015297905,-3.8899791043277574,1.2132079731703904e-16,1.3167006314860592e-18,-3.715852618192646e-18,0.0
1554,126.7989244812326,1.3762417875613844,-3.8837609036432257,1.2096726009641892e-16,1.3129464540224793e-18,-3.705141169812122e-18,0.0
1555,126.59379715782387,1.3741019167748936,-3.877600086890704,1.206163334963527e-16,1.309220031097352e-18,-3.694508860199633e-18,0.0
1556,126.39055735729367,1.3719821519380946,-3.871496542600781,1.2026800466833844e-16,1.3055212296256699e-18,-3.683955304846967e-18,0.0
1557,126.18920118486696,1.3698824553155702,-3.8654501579138216,1.1992226077475407e-16,1.3018499165902886e-18,-3.6734801195076164e-18,0.0
1558,125.98972470178963,1.3678027886730213,-3.8594608185922596,1.195790889892782e-16,1.298205959046681e-18,-3.663082920209927e-18,0.0
1559,125.79212392572957,1.3657431132815379,-3.8535284090327733,1.1923847649730343e-16,1.2945892241276119e-18,-3.652763323270046e-18,0.0
1560,125.59639483117284,1.3637033899218127,-3.847652812278303,1.1890041049634164e-16,1.290999579047726e-18,-3.6425209453046e-18,0.0
1561,125.40253334981487,1.36168357888831,-3.8418339100299224,1.1856487819642143e-16,1.2874368911080537e-18,-3.632355403243149e-18,0.0
1562,125.21053537094714,1.3596836399933823,-3.8360715826585827,1.182318668204781e-16,1.2839010277004332e-18,-3.62226631434041e-18,0.0
1563,125.02039674183929,1.3577035325713407,-3.8303657092167054,1.1790136360473608e-16,1.2803918563118554e-18,-3.612253296188248e-18,0.0
1564,124.83211326811599,1.3557432154824687,-3.8247161674496177,1.1757335579908325e-16,1.276909244528719e-18,-3.60231596672742e-18,0.0
1565,124.64568071412934,1.353802647116993,-3.819122833806872,1.1724783066743835e-16,1.2734530600410122e-18,-3.5924539442591085e-18,0.0
1566,124.46109480332649,1.3518817853990006,-3.8135855834533996,1.169247754881106e-16,1.2700231706464112e-18,-3.582666847456225e-18,0.0
1567,124.2783512186123,1.3499805877903044,-3.808104290280522,1.166041775541519e-16,1.2666194442542965e-18,-3.572954295374469e-18,0.0
1568,124.0974456027071,1.3480990112942586,-3.8026788269168255,1.1628602417370142e-16,1.263241748889692e-18,-3.563315907463178e-18,0.0
1569,123.91837355849984,1.3462370124595249,-3.7973090647388803,1.1597030267032339e-16,1.259889952697125e-18,-3.553751303575953e-18,0.0
1570,123.74113064939644,1.34439454738379,-3.7919948738818245,1.156570003833372e-16,1.2565639239444096e-18,-3.544260103981053e-18,0.0
1571,123.56571239966298,1.3425715717174214,-3.786736123249787,1.1534610466814034e-16,1.2532635310263445e-18,-3.5348419293715754e-18,0.0
1572,123.39211429476455,1.3407680406670917,-3.781532680526188,1.1503760289652441e-16,1.249988642468348e-18,-3.525496400875422e-18,0.0
1573,123.22033178169858,1.3389839089993267,-3.7763844121838614,1.1473148245698349e-16,1.246739126929997e-18,-3.516223140065027e-18,0.0
1574,123.050360269324,1.3372191310440285,-3.7712911834950678,1.1442773075501617e-16,1.2435148532085104e-18,-3.507021768966907e-18,0.0
1575,122.88219512868544,1.335473660697929,-3.766252858541331,1.1412633521342017e-16,1.2403156902421427e-18,-3.497891910070959e-18,0.0
1576,122.71583169333204,1.333747451427998,-3.761269300223142,1.138272832725799e-16,1.2371415071135065e-18,-3.488833186339569e-18,0.0
1577,122.55126525963213,1.3320404562748043,-3.756340370269517,1.135305623907475e-16,1.2339921730528231e-18,-3.479845221216503e-18,0.0
1578,122.38849108708268,1.3303526278558198,-3.751465929247407,1.1323616004431682e-16,1.230867557441098e-18,-3.470927638635592e-18,0.0
1579,122.22750439861431,1.3286839183686792,-3.7466458365709716,1.129440637280911e-16,1.2277675298132257e-18,-3.46208006302922e-18,0.0
1580,122.06830038089089,1.3270342795943795,-3.741879950510682,1.1265426095554304e-16,1.2246919598610143e-18,-3.4533021193365806e-18,0.0
1581,121.91087418460489,1.325403662900439,-3.7371681282023124,1.1236673925906926e-16,1.2216407174361503e-18,-3.444593433011762e-18,0.0
1582,121.75522092476781,1.323792019244,-3.7325102256557607,1.1208148619023776e-16,1.2186136725530836e-18,-3.435953630031616e-18,0.0
1583,121.60133568099566,1.3221992991748803,-3.727906097763734,1.117984893200287e-16,1.215610695391845e-18,-3.427382336903425e-18,0.0
1584,121.44921349778988,1.3206254528385781,-3.7233555983102997,1.115177362390692e-16,1.2126316563007956e-18,-3.418879180672387e-18,0.0
1585,121.29884938481338,1.3190704299792242,-3.718858579979272,1.1123921455786131e-16,1.2096764257993048e-18,-3.4104437889288896e-18,0.0
1586,121.15023831716213,1.3175341799424825,-3.7144148943624757,1.1096291190700428e-16,1.2067448745803622e-18,-3.402075789815604e-18,0.0
1587,121.00337523563132,1.3160166516784026,-3.7100243919678486,1.1068881593740981e-16,1.2038368735131181e-18,-3.3937748120343776e-18,0.0
1588,120.85825504697802,1.3145177937442272,-3.705686922227425,1.1041691432051206e-16,1.2009522936453659e-18,-3.3855404848529516e-18,0.0
1589,120.71487262417801,1.3130375543071384,-3.701402333505157,1.1014719474847086e-16,1.1980910062059477e-18,-3.3773724381114813e-18,0.0
1590,120.57322280667859,1.3115758811469647,-3.6971704731045993,1.0987964493436919e-16,1.1952528826071013e-18,-3.369270302228872e-18,0.0
1591,120.43330040064659,1.3101327216588357,-3.6929911872764625,1.0961425261240473e-16,1.1924377944467422e-18,-3.361233708208941e-18,0.0
1592,120.2951001792118,1.3087080228557857,-3.688864321226018,1.0935100553807547e-16,1.1896456135106778e-18,-3.353262287646389e-18,0.0
